Overview|Übersicht
Observe|Beobachten
Understand|Verstehen
Experiment|Experimentieren
Skip to course|Zum Kurs
Part 2 ↗|Teil 2 ↗
Part 1 ↗|Teil 1 ↗
Back to Part 1 ↗|Zurück zu Teil 1 ↗
DAY 1 / MOTION GRAPHICS PRINCIPLES|TAG 1 / BEWEGUNGSPRINZIPIEN
Turn ideas into motion.|Bringe Ideen in Bewegung.
Turn motion into products.|Gestalte Produkte mit Bewegung.
Scroll to explore the course|Scrolle durch den Kurs
STUDY 001|STUDIE 001
BALANCE IN MOTION|BALANCE IN BEWEGUNG
Drag to rotate|Zum Drehen ziehen
THE LOOP|DIE SCHLEIFE
Swing. Roll. Return.|Schwingen. Rollen. Zurückkehren.
/ 8 SEC|/ 8 SEK
SCROLL TO EXPLORE|WEITER SCROLLEN
The course structure|Der Kursaufbau
First we build together.|Zuerst gestalten wir gemeinsam.
Then you make it yours.|Dann entwickelst du deine eigene Idee.
DAY 1|TAG 1
DAY 2|TAG 2
DAY 3|TAG 3
Explore|Entdecken
Build|Gestalten
Refine|Verfeinern
Learn motion principles and bring your first movement to life in Blender.|Lerne Bewegungsprinzipien und animiere deine erste Bewegung in Blender.
Create the Kinetic Relay with clear timing, rhythm, and connected reactions.|Gestalte den Kinetic Relay mit klarem Timing, Rhythmus und verbundenen Reaktionen.
Polish the loop, apply feedback, and develop your own animation.|Verfeinere den Loop, nutze Feedback und entwickle deine eigene Animation.
PART 1|TEIL 1
PART 2|TEIL 2
See and Understand Motion|Bewegung sehen und verstehen
Before we touch Blender, we learn to see what movement is doing: guiding attention, creating feeling, and making ideas readable.|Bevor wir Blender öffnen, untersuchen wir, wie Bewegung den Blick lenkt, Gefühle weckt und Ideen vermittelt.
Motion is a design decision.|Bewegung ist eine Gestaltungsentscheidung.
Learning to see|Sehen lernen
Motion is not decoration.|Bewegung ist keine Dekoration.
A movement should have a job. It can point the eye, explain a relationship, prepare an action, or make a brand feel sharp, soft, playful, precise, or premium.|Bewegung braucht eine Aufgabe: den Blick lenken, Zusammenhänge erklären, Aktionen vorbereiten oder einer Marke Charakter geben.
Ask: what is the motion doing?|Frage: Was bewirkt die Bewegung?
Opposite Motion Jobs|Gegensätzliche Aufgaben
The same object can do opposite jobs.|Dasselbe Objekt kann Gegensätzliches vermitteln.
Nothing has changed except the motion design decision: timing, spacing, anticipation, and settle.|Nur die Bewegung ändert sich: Timing, Abstände, Vorbereitung und Ausklingen.
PRECISE / PREMIUM|PRÄZISE / HOCHWERTIG
Confirm a choice|Eine Auswahl bestätigen
Fast move, tight easing, tiny overshoot.|Schnelle Bewegung, straffes Easing, leichtes Überschwingen.
Confident, technical, controlled.|Selbstbewusst, technisch, kontrolliert.
SOFT / PLAYFUL|WEICH / VERSPIELT
Invite attention|Aufmerksamkeit wecken
Anticipation, squash/stretch, delayed settle.|Ausholen, Stauchen und Strecken, verzögertes Ausklingen.
Friendly, curious, light.|Freundlich, neugierig, leicht.
Question: did the object change, or did the motion change the meaning?|Frage: Hat sich das Objekt verändert – oder seine Wirkung durch die Bewegung?
The viewer's eye needs a path.|Der Blick braucht einen Weg.
Good motion creates order. It tells the viewer where to look first, what to follow next, and when the important moment has arrived.|Gute Bewegung schafft Ordnung: Sie zeigt, wohin wir zuerst schauen, was folgt und wann der entscheidende Moment kommt.
First. Next. Payoff.|Anfang. Entwicklung. Höhepunkt.
Viewer Path Examples|Beispiele zur Blickführung
The viewer either searches or follows.|Der Blick sucht oder folgt.
A clear path is not about adding arrows. It is about deciding what moves first, what waits, and what becomes important last.|Blickführung entsteht durch Reihenfolge: Was bewegt sich zuerst, was wartet und was wird zuletzt wichtig?
NO CLEAR PATH|KEINE KLARE BLICKFÜHRUNG
Everything calls for attention|Alles fordert Aufmerksamkeit
Competing motion, similar contrast, no priority.|Konkurrierende Bewegung, gleicher Kontrast, keine Priorität.
The viewer has to search.|Der Blick muss suchen.
CLEAR VIEWER PATH|KLARE BLICKFÜHRUNG
